Nombre,Categoría,Declaración de seguridad,Clasificación 1,Clasificación 2,Clasificación 3
 dactinomicina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,
dalfopristina con quinupristina,B3,,Antimicrobianos,Antibióticos,
dalteparina,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,
damoctocog alfa pegol,B2,,Sistema cardiovascular,Agentes hemostáticos,
danaparoide,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,
danazol,D,"Si la madre lo toma a las 8 semanas o más de la concepción, el danazol puede causar virilización del feto. Antes de las 8 semanas de la concepción, no tiene efectos virilizantes. El danazol puede no inhibir la ovulación en todas las mujeres.",Sistema endocrino,Inhibidores de la hipófisis,
dantroleno,B2,,Sistema musculoesquelético,relajantes musculares,
dapagliflozina,D,Estudios en ratas han demostrado toxicidad para el riñón en desarrollo en el período correspondiente al segundo y tercer trimestre del embarazo humano.,Sistema endocrino,agentes hipoglucemiantes,
dapagliflozina/saxagliptina,D, Estudios con dapagliflozina en ratas han demostrado toxicidad para el riñón en desarrollo en el período de tiempo correspondiente al segundo y tercer trimestre del embarazo humano.,Sistema endocrino,agentes hipoglucemiantes,
dapagliflozina/metformina,D, Estudios con dapagliflozina en ratas han demostrado toxicidad para el riñón en desarrollo en el período de tiempo correspondiente al segundo y tercer trimestre del embarazo humano.,Sistema endocrino,agentes hipoglucemiantes,
dapoxetina,do,"Los inhibidores selectivos de la recaptación de serotonina (ISRS) se han utilizado de forma limitada durante el embarazo, sin que se haya reportado un aumento de defectos congénitos. El uso de ISRS en el tercer trimestre puede provocar un síndrome de abstinencia en el recién nacido.",Sistema nervioso central,antidepresivos,Inhibidores selectivos de la recaptación de serotonina (ISRS)
dapsona,B2,,Antimicrobianos,Antituberculosos y antilepróticos,
daptomicina,B1,,Antimicrobianos,Antibióticos,
daratumumab,do,Se sabe que los anticuerpos IgG atraviesan la barrera placentaria. Este fármaco tiene el potencial de afectar la supervivencia embriofetal debido a su acción farmacológica.,Alergia y sistema inmunológico,Inmunomodificadores,
darbepoetina alfa,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,
darifenacina,B3,,Sistema genitourinario,Hiperplasia de próstata,
darolutamida,D,Por su mecanismo de acción puede producir daño fetal si se administra durante el embarazo.,Agentes antineoplásicos,Agentes antineoplásicos hormonales,
darunavir,B2,,Antimicrobianos,agentes antivirales,
dasatinib,D, Este fármaco es embriotóxico tanto en ratas como en conejas preñadas y teratogénico cuando se administra a animales preñados.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
daunorrubicina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,
toxina daxibotulínico tipo A,B3,,Sistema musculoesquelético,relajantes musculares,
decitabina/cedazuridina,incógnita,La decitabina/cedazuridina está contraindicada durante el embarazo. Se ha demostrado que la decitabina causa malformaciones y letalidad embriofetal en múltiples especies animales de laboratorio a dosis muy inferiores a la dosis clínica.,Agentes antineoplásicos,Antimetabolitos,
deferasirox,do,," Agentes desintoxicantes, antídotos",,
deferiprona,D,Los estudios reproductivos en ratas y conejos no cargados con hierro han indicado que la deferiprona es embriotóxica y teratogénica.," Agentes desintoxicantes, antídotos",,
defibrotida,D,Este medicamento ha revelado una alta tasa de abortos hemorrágicos en animales.,Sangre y sistema hematopoyético,,
 degarelix,D,"En dosis muy bajas (<10% de la dosis clínica), se observó en animales un aumento del número de abortos, muertes precoces de embriones y fetos y partos prematuros junto con un parto prolongado.",Agentes antineoplásicos,Agentes antineoplásicos hormonales,
delavirdina,B3,,Antimicrobianos,agentes antivirales,
demeclociclina,D,"Las tetraciclinas son seguras para su uso durante las primeras 18 semanas de embarazo (16 semanas después de la concepción), después de lo cual provocan decoloración de los dientes del bebé.",Antimicrobianos,Antibióticos,Tetraciclinas
denosumab,D,El tratamiento con denosumab puede perjudicar el crecimiento óseo en niños con placas de crecimiento abiertas y puede inhibir la erupción de la dentición.,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,
 ácido desoxicólico,B1,,Medicamentos utilizados en dermatología,,
desferrioxamina,B3,," Agentes desintoxicantes, antídotos",,
desflurano,B3,"Todos los anestésicos generales pueden producir depresión del sistema nervioso central y respiratoria en el recién nacido. En la práctica habitual, esto no parece ser un problema. Sin embargo, en el feto con problemas de salud, se debe considerar cuidadosamente esta posible depresión y la selección de fármacos, dosis y técnicas anestésicas específicas.",Medicamentos utilizados en anestesia,Anestésicos generales,
desipramina,do,Se han reportado síntomas de abstinencia en recién nacidos con el uso materno prolongado de antidepresivos tricíclicos.,Sistema nervioso central,antidepresivos,antidepresivos tricíclicos
desirudina,B3,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,
desloratadina,B1,,Alergia y sistema inmunológico,Antihistamínicos,
desmopresina,B1,,Sistema endocrino,Antidiuréticos,
desogestrel con etinilestradiol,B3,,Agentes anticonceptivos,Anticonceptivos orales,
desonida,B3,,Medicamentos utilizados en Dermatología,Actual,
desvenlafaxina,B2,,Sistema nervioso central,antidepresivos,
deucravacitinib,B1,,Alergia y sistema inmunológico,Inmunomodificadores,
dexametasona,A,,Sistema endocrino,Corticosteroides,Sistémico
dexanfetamina,B3,,Sistema nervioso central,estimulantes del sistema nervioso central,
dexclorfenamina (dexclorfeniramina),A,,Alergia y sistema inmunológico,Antihistamínicos,
dexfenfluramina,B3,No se recomienda la reducción de peso con medicamentos supresores del apetito durante el embarazo.,Metabolismo,Agentes anoréxicos y reductores de peso,
dexmedetomidina,B1,,Sistema nervioso central,Hipnóticos y sedantes,
dextrometorfano,A,,Sistema respiratorio,Antitusivos,
dextromoramida,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides
dextropropoxifeno,do,Los analgésicos opioides pueden causar depresión respiratoria en recién nacidos. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de este tipo de fármacos.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides
diazepam,do,"Las benzodiazepinas pueden causar hipotonía, depresión respiratoria e hipotermia en el recién nacido si se administran en dosis altas durante el parto. Se han reportado síntomas de abstinencia en recién nacidos con el uso prolongado de esta clase de fármacos.",Sistema nervioso central,Benzodiazepinas,
diazóxido,do,Este medicamento puede causar bradicardia fetal. Se ha observado hiperglucemia en recién nacidos. El diazóxido es un potente relajante del músculo liso uterino y puede inhibir la contracción uterina si se administra durante el parto. El diazóxido debe usarse con extrema precaución durante el embarazo.,Sistema cardiovascular,Antihipertensivos,
diclofenaco,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
dicloxacilina,B2,,Antimicrobianos,Antibióticos,penicilinas
clorhidrato de diciclomina,B1,,Sistema alimentario,Laxantes,
didanosina,B2,,Antimicrobianos,agentes antivirales,
dienoestrol,incógnita,,Sistema endocrino,Estrógenos (ver también anticonceptivos orales),
dienogest con etinilestradiol,B3,,Agentes anticonceptivos,Anticonceptivos orales,
dienosliterol,B1,,Sistema genitourinario,Medicación vaginal tópica,
dietilcarbamazina,B2,,Antimicrobianos,Antihelmínticos,
dietilpropión,B2,No se recomienda la reducción de peso con medicamentos supresores del apetito durante el embarazo.,Metabolismo,Agentes anoréxicos y reductores de peso,
 difelikefalina,B1,,Alergia y sistema inmunológico,Inmunomodificadores,
diflunisal,do,"Los antiinflamatorios no esteroideos (AINE) inhiben la síntesis de prostaglandinas, lo que puede afectar negativamente al embarazo. Consulte los textos pertinentes en la información del producto de cada AINE para obtener información sobre su idoneidad para su uso durante el embarazo. Estudios epidemiológicos sugieren un mayor riesgo de aborto espontáneo tras el uso de inhibidores de la síntesis de prostaglandinas al inicio del embarazo. Su administración durante la última etapa del embarazo puede causar el cierre del conducto arterioso fetal, oligohidramnios, insuficiencia renal fetal, inhibición de la agregación plaquetaria y retraso del parto. El tratamiento continuo con AINE durante el último trimestre del embarazo solo debe administrarse bajo indicación médica válida. Durante los últimos días previos al parto, deben evitarse los agentes con efecto inhibidor sobre la síntesis de prostaglandinas.",Sistema musculoesquelético,Medicamentos antiinflamatorios no esteroides (AINE),
digoxina y otros glucósidos cardíacos,A,,Sistema cardiovascular,Agentes inotrópicos cardíacos,
digoxina inmunológica,B2,," Agentes desintoxicantes, antídotos",,
Fragmento de anticuerpo específico de digoxina F(Ab) (ovino),B2,," Agentes desintoxicantes, antídotos",,
dihidrocodeína,A,El uso prolongado de dosis altas de codeína antes del parto puede producir síntomas de abstinencia de codeína en el neonato.,Sistema nervioso central,Analgésicos y antipiréticos (ver también agentes antiinflamatorios no esteroides),analgésicos opioides
dihidrocodeína,A,,Sistema respiratorio,Antitusivos,
dihidroergotamina,do,"Las dosis orales estándar para la migraña durante la primera mitad del embarazo no parecen representar riesgos para el feto. La ergotamina induce la contracción uterina y, por lo tanto, puede causar parto prematuro o hipertonía. Dosis mayores o un uso más frecuente pueden poner en riesgo al feto debido a la posibilidad de obstaculizar el riego sanguíneo fetal.",Sistema cardiovascular,Preparaciones antimigrañosas,
dihidrotaquisterol,B3,,Sistema endocrino,Agentes que afectan el metabolismo del calcio y los huesos,
diltiazem,do, Los bloqueadores de los canales de calcio tienen el potencial de producir hipoxia fetal asociada con hipotensión materna.,Sistema cardiovascular,Antihipertensivos,bloqueadores de los canales de calcio
dimenhidrinato,A,,Sistema nervioso central,"Antieméticos, antinauseosos",
fumarato de dimetilo,B1,,Alergia y sistema inmunológico,Inmunomodificadores,
dinoprost,do,,Sistema genitourinario,Agentes que actúan sobre el útero,
dinoprostona (prostaglandina E2),do,Se han dado casos de sensibilidad idiosincrásica del útero que provocaron anoxia fetal.,Sistema genitourinario,Agentes que actúan sobre el útero,
dinutuximab beta,do," Basándose en su mecanismo de acción, dinutuximab beta tiene el potencial de afectar el desarrollo embriofetal y causar daño fetal.",Agentes antineoplásicos,anticuerpos monoclonales,
difenhidramina,A,,Alergia y sistema inmunológico,Antihistamínicos,
difenhidramina,A,,Sistema nervioso central,"Antieméticos, antinauseosos",
difenoxilato,do,Este medicamento está químicamente relacionado con el analgésico narcótico petidina. Los analgésicos narcóticos pueden causar depresión respiratoria en el recién nacido. Este medicamento no debe administrarse a término ni cerca del término.,Sistema alimentario,Antidiarreicos,
difenilamina,A,,Alergia y sistema inmunológico,Antihistamínicos,
difenilpiralina,B2,,Alergia y sistema inmunológico,Antihistamínicos,
vacuna contra la difteria y el tétanos,A,,Vacunas,Vacunas de subunidades,vacunas toxoides
"vacuna contra la difteria, el tétanos y la tos ferina",A,,Vacunas,vacunas toxoides,
" vacuna conjugada antidiftérica, antitetánica, antitos ferina, antihepatitis B, antipoliomielítica inactivada y antihaemophilus influenzae tipo b",B2,,Vacunas,Vacunas muertas,
" vacuna contra la difteria, el tétanos, la tos ferina, la hepatitis B, la poliomielitis inactivada y Haemophilus influenzae tipo b",B1 o B2 (dependiendo de la marca de la vacuna),,Vacunas,Vacunas muertas,
"vacuna antipoliomielítica inactivada contra la difteria, el tétanos, la tos ferina y la tos ferina",A,,Vacunas,Vacunas muertas,
dipivefrina,B2,,Medicamentos oftálmicos,,
dipiridamol,B1,,Sistema cardiovascular,Vasodilatadores,
fumarato de diroximel,B3,,Alergia y sistema inmunológico,Inmunomodificadores,
disopiramida,B2,,Sistema cardiovascular,Antiarrítmicos,
disulfiram,B2,,Agentes utilizados en estados de dependencia,,
ditranol,B2,,Medicamentos utilizados en Dermatología,Actual,
dobutamina,B2,,Sistema cardiovascular,estimulantes adrenérgicos,
docetaxel,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Antimetabolitos,
docusato de sodio,A,,Sistema alimentario,Laxantes,
dofetilida,D,Se ha demostrado que este medicamento causa muerte y anomalías fetales cuando se administra a animales durante la gestación.,Sistema cardiovascular,Antiarrítmicos,
dolasetrón,B1,,Sistema nervioso central,"Antieméticos, antinauseosos",
dolutegravir,B1,,Antimicrobianos,agentes antivirales,
dolutegravir / abacavir / lamivudina,B3,,Antimicrobianos,agentes antivirales,
domperidona,B2,,Sistema nervioso central,"Antieméticos, antinauseosos",
donepezil,B3,,Agentes colinérgicos y anticolinérgicos,,
dopamina,B3,,Sistema cardiovascular,estimulantes adrenérgicos,
 doripenem,B2,,Antimicrobianos,Antibióticos,
dornasa alfa,B1,,Sistema respiratorio,,
dorzolamida,B3,,Medicamentos oftálmicos,,
dorzolamida/timolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Medicamentos oftálmicos,,
dostarlimab,D,"PD-1/PD-L1 interviene en la tolerancia fetomaterna. Su administración durante el embarazo puede causar daño fetal, incluyendo aborto o muerte fetal.",Agentes antineoplásicos,anticuerpos monoclonales,
dosulepina,do,Se han reportado síntomas de abstinencia en recién nacidos con el uso materno prolongado de antidepresivos tricíclicos.,Sistema nervioso central,antidepresivos,antidepresivos tricíclicos
dotiepina (dosulepina),do,Se han reportado síntomas de abstinencia en recién nacidos con el uso materno prolongado de antidepresivos tricíclicos.,Sistema nervioso central,antidepresivos,antidepresivos tricíclicos
doxazosina,B3,,Sistema cardiovascular,Antihipertensivos,
doxepina,do,Se han reportado síntomas de abstinencia en recién nacidos con el uso materno prolongado de antidepresivos tricíclicos.,Sistema nervioso central,antidepresivos,antidepresivos tricíclicos
doxorrubicina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,
doxiciclina,D,"Las tetraciclinas son seguras para su uso durante las primeras 18 semanas de embarazo (16 semanas después de la concepción), después de lo cual provocan decoloración de los dientes del bebé.",Antimicrobianos,Antibióticos,Tetraciclinas
doxiciclina (antipalúdico),D,"Las tetraciclinas son seguras durante las primeras 18 semanas de embarazo (16 semanas después de la concepción), tras lo cual causan decoloración de los dientes del bebé. El uso de este fármaco en el tratamiento de la malaria está aceptado porque el pequeño riesgo para el feto se ve compensado por los beneficios para la madre y el feto. La profilaxis en situaciones de alto riesgo también está justificada.",Antimicrobianos,Antipalúdicos,
doxilamina,A,,Alergia y sistema inmunológico,Antihistamínicos,
dronedarona,D,,Sistema cardiovascular,Antiarrítmicos,
droperidol,do,"Cuando se administran en dosis altas al final del embarazo, las butirofenonas pueden provocar trastornos neurológicos prolongados en el recién nacido.",Sistema nervioso central,fármacos antipsicóticos,Butirofenonas
drospirenona con etinilestradiol,B3,,Agentes anticonceptivos,Anticonceptivos orales,
drotrecogina alfa,do,,Sistema cardiovascular,Agentes hemostáticos,
dulaglutida,B3,,Sistema endocrino,agentes hipoglucemiantes,
duloxetina,B3,"Los inhibidores selectivos de la recaptación de serotonina (ISRS) se han utilizado de forma limitada durante el embarazo, sin que se haya reportado un aumento de defectos congénitos. El uso de ISRS en el tercer trimestre puede provocar un síndrome de abstinencia en el recién nacido.",Sistema nervioso central,antidepresivos,Inhibidores selectivos de la recaptación de serotonina (ISRS)
dupilumab,B1,,Alergia y sistema inmunológico,Inmunomodificadores,
durvalumab,D,"PD-1/PD-L1 interviene en la tolerancia fetomaterna. Su administración durante el embarazo puede causar daño fetal, incluyendo aborto o muerte fetal.",Agentes antineoplásicos,anticuerpos monoclonales,
dutasterida,incógnita,La dutasterida puede provocar anomalías en los genitales externos de un feto masculino.,Sistema genitourinario,Hiperplasia de próstata,
didrogesterona con estradiol,B3,,Sistema endocrino,Progestágenos (ver también anticonceptivos orales),
econazol,A,,Medicamentos utilizados en Dermatología,"Antifúngicos tópicos, antisépticos (ver también agentes antifúngicos)",
econazol,A,,Sistema genitourinario,Medicación vaginal tópica,
ecotiopato,B2,,Medicamentos oftálmicos,,
eculizumab,B2,,Alergia y sistema inmunológico,Inmunomodificadores,
edaravona,B3,,Sistema nervioso central,,
efalizumab,do,,Alergia y sistema inmunológico,Inmunomodificadores,
efavirenz,D,"Este medicamento puede causar daño fetal si se administra durante el primer trimestre a una mujer embarazada. Atravesó la placenta y fue teratogénico (anencefalia, anoftalmia unilateral, microoftalmia y/o paladar hendido) en monos cinomolgos.",Antimicrobianos,agentes antivirales,
eflornitina,B3,,Medicamentos utilizados en Dermatología,Actual,
eformoterol (formoterol),B3,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo
efraloctocog alfa (rhu),do,,Sistema cardiovascular,Agentes hemostáticos,
eftrenonacog alfa (rhu),do,,Sistema cardiovascular,Agentes hemostáticos,
elbasvir/grazoprevir,B1,,Antimicrobianos,agentes antivirales,
eletriptán,B1,,Sistema cardiovascular,Preparaciones antimigrañosas,
eliglustat,B3,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
elosulfasa alfa (rch),B3,,Metabolismo,Agentes utilizados para el tratamiento de trastornos metabólicos,
elotuzumab,do,"Basándose en su farmacología, el tratamiento materno con elotuzumab puede tener efectos sobre las células inmunes fetales y la tolerancia materna.",Agentes antineoplásicos,anticuerpos monoclonales,
elranatamab,do,"Según su mecanismo de acción, elranatamab puede causar daño fetal, incluyendo linfocitopenia de células B, cuando se administra a una mujer embarazada. La depleción de células B fetales supone un riesgo de infecciones oportunistas en el neonato. La liberación de citocinas inducida por elranatamab también puede suponer un riesgo de pérdida embriofetal.",Agentes antineoplásicos,anticuerpos monoclonales,
eltrombopag,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,
elvitegravir,B2,,Antimicrobianos,agentes antivirales,
elvitegravir/cobicistat/emtricitabina/tenofovir alafenamida,B3,,Antimicrobianos,agentes antivirales,
emetina,A,,Sistema respiratorio,Expectorantes y mucolíticos,
emicizumab,B2,,Sistema cardiovascular,Agentes hemostáticos,
empagliflozina,D,Estudios en ratas han demostrado toxicidad para el riñón en desarrollo en el período correspondiente al segundo y tercer trimestre del embarazo humano.,Sistema endocrino,agentes hipoglucemiantes,
empagliflozina/linagliptina,D,Estudios con empagliflozina en ratas han demostrado toxicidad para el riñón en desarrollo en el período de tiempo correspondiente al segundo y tercer trimestre del embarazo humano.,Sistema endocrino,agentes hipoglucemiantes,
empagliflozina/metformina,D,Estudios con empagliflozina en ratas han demostrado toxicidad para el riñón en desarrollo en el período de tiempo correspondiente al segundo y tercer trimestre del embarazo humano.,Sistema endocrino,agentes hipoglucemiantes,
emtricitabina,B1,,Antimicrobianos,agentes antivirales,
emtricitabina/ripilvirina/tenofovir alafenamida,B3,,Antimicrobianos,agentes antivirales,
emtricitabina/tenofovir alafenamida,B3,,Antimicrobianos,agentes antivirales,
emtricitabina/fumarato de tenofovir disoproxil,B3,,Antimicrobianos,agentes antivirales,
emtricitabina/fumarato de tenofovir disoproxil/rilpivirina,B3,,Antimicrobianos,agentes antivirales,
emtricitabina/tenofovir disoproxil maleato,B3,,Antimicrobianos,agentes antivirales,
enalapril,D,"Cuando se toman durante el segundo y tercer trimestre, los inhibidores de la ECA causan diversas anomalías, como disfunción renal y oligohidramnios. Estas pueden estar asociadas con la muerte fetal intrauterina. Si bien no se han relacionado efectos adversos fetales con el uso de inhibidores de la ECA durante el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante dicho período. Las mujeres embarazadas que toman inhibidores de la ECA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no usar inhibidores de la ECA para el tratamiento de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,Inhibidores de la enzima convertidora de angiotensina (ECA)
enasidenib,D,Enasidenib puede causar daño embriofetal cuando se administra a una mujer embarazada según hallazgos adversos en estudios con animales.,Agentes antineoplásicos,,
encorafenib,D,"Según los resultados de estudios en animales, encorafenib puede ser perjudicial para el feto. No debe administrarse encorafenib durante el embarazo a menos que los beneficios para la madre superen los riesgos para el feto. Si se utiliza encorafenib durante el embarazo o si la paciente queda embarazada mientras toma encorafenib, se le debe informar del posible riesgo para el feto.",Agentes antineoplásicos,,
enflurano,A,"Todos los anestésicos generales pueden producir depresión del sistema nervioso central y respiratoria en el recién nacido. En la práctica habitual, esto no parece ser un problema. Sin embargo, en el feto con problemas de salud, se debe considerar cuidadosamente esta posible depresión y la selección de fármacos, dosis y técnicas anestésicas específicas.",Medicamentos utilizados en anestesia,Anestésicos generales,
enfortumab vedotina,D," Según su mecanismo de acción y los hallazgos en animales, enfortumab vedotin puede causar daño fetal.",Agentes antineoplásicos,,
enfuvirtida,B2,,Antimicrobianos,agentes antivirales,
enoxacina,B3,,Antimicrobianos,Antibióticos,Quinolonas
enoxaparina,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,
entacapona,B3,,Sistema nervioso central,Agentes antiparkinsonianos,
entecavir,B3,,Antimicrobianos,agentes antivirales,
entrectinib,D,"Según su mecanismo de acción y los hallazgos en estudios con animales, entrectinib puede causar malformaciones fetales.",Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
enzalutamida,incógnita,"En un estudio de desarrollo embriofetal en ratones se observó teratogenicidad (paladar hendido, costilla cervical y disminución de la distancia anogenital) y letalidad embriofetal.",Agentes antineoplásicos,Agentes antineoplásicos hormonales,
epcoritamab,do,"Según su mecanismo de acción, epcoritamab puede causar daño fetal, incluyendo linfocitopenia de células B, cuando se administra a una mujer embarazada. La depleción de células B fetales supone un riesgo de infecciones oportunistas en el neonato. La liberación de citocinas inducida por epcoritamab también puede suponer un riesgo de pérdida embriofetal.",Agentes antineoplásicos,anticuerpos monoclonales,
efedrina,A,,Sistema cardiovascular,estimulantes adrenérgicos,
efedrina,A,,Sistema respiratorio,Agentes inhalatorios,Relajantes del broncoespasmo
epirrubicina,D,"Los agentes citotóxicos pueden producir abortos espontáneos, pérdida fetal y defectos de nacimiento.",Agentes antineoplásicos,Agentes citotóxicos antibióticos,
eplerenona,B3,,Sistema cardiovascular,Diuréticos,
epoetina alfa,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,
epoetina beta (rch),B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,
epoetina lambda (rch),B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,
epoprostenol,B1,,Sistema cardiovascular,Vasodilatadores,
eprosartán,D,"Cuando se usan durante el segundo y tercer trimestre del embarazo, los medicamentos que actúan directamente sobre el sistema renina-angiotensina pueden causar lesiones e incluso la muerte del feto en desarrollo. Si bien no se han relacionado efectos adversos fetales con el uso de ARA en el primer trimestre, el número de exposiciones reportadas es demasiado pequeño para determinar de forma concluyente su seguridad durante el primer trimestre. Las mujeres embarazadas que toman ARA deben cambiar su medicación antihipertensiva lo antes posible para mantener la presión arterial normal. En general, se recomienda no usar ARA para el manejo de la hipertensión en mujeres con probabilidad de embarazo.",Sistema cardiovascular,Antihipertensivos,Antagonistas del receptor de angiotensina II e inhibidores de la renina
eptacog alfa (factor VII activado - rch),B1,,Sistema cardiovascular,Agentes hemostáticos,
eptifibatida,do,Todos los anticoagulantes y agentes trombolíticos pueden producir hemorragia placentaria y posterior prematuridad y pérdida fetal.,Sistema cardiovascular,Anticoagulantes y agentes trombolíticos,
eptinezumab,B1,,Sistema nervioso central,,
eptotermina alfa,D," La alteración de los niveles normales de proteínas morfogénicas óseas, incluida esta proteína en el embrión, puede alterar el curso normal de acción de estos agentes y posiblemente provocar una malformación fetal.",Sistema musculoesquelético,Agentes osteogénicos,
erenumab,B1,,Sistema cardiovascular,Preparaciones antimigrañosas,
ergometrina,do,Este medicamento induce la contracción uterina y puede causar parto prematuro o hipertónico. Se deben evitar los productos que contienen ergometrina durante el embarazo.,Sistema genitourinario,Agentes que actúan sobre el útero,
ergotamina,do,"Las dosis orales estándar para la migraña durante la primera mitad del embarazo no parecen representar riesgos para el feto. La ergotamina induce la contracción uterina y, por lo tanto, puede causar parto prematuro o hipertonía. Dosis mayores o un uso más frecuente pueden poner en riesgo al feto debido a la posibilidad de obstaculizar el riego sanguíneo fetal.",Sistema cardiovascular,Preparaciones antimigrañosas,
eribulina,D,"La eribulina es embriotóxica, fetotóxica y teratogénica en ratas en dosis menores a la recomendada para humanos en función del área de superficie corporal.",Agentes antineoplásicos,,
erlotinib,do,Este fármaco inhibe el EGFR. El EGFR desempeña un papel importante en el desarrollo embriofetal.,Agentes antineoplásicos,Inhibidores de la tirosina quinasa,
ertapenem,B3,,Antimicrobianos,Antibióticos,
ácido piroglutámico de ertugliflozina,D,"Según los resultados de estudios en animales, la ertugliflozina puede afectar el desarrollo y la maduración renal. No se recomienda su uso durante el embarazo.",Sistema endocrino,agentes hipoglucemiantes,
ácido piroglutámico de ertugliflozina; clorhidrato de metformina,D,"Según los resultados de estudios en animales, la ertugliflozina puede afectar el desarrollo y la maduración renal. No se han realizado estudios de desarrollo embriofetal en animales con la combinación de ertugliflozina y metformina. No se recomienda su uso durante el embarazo.",Sistema endocrino,agentes hipoglucemiantes,
ácido piroglutámico de ertugliflozina; fosfato de sitagliptina monohidrato,D,"Según los resultados de estudios en animales, ertugliflozina puede afectar el desarrollo y la maduración renal. No se han realizado estudios de desarrollo embriofetal en animales con ertugliflozina y sitagliptina en combinación. No se recomienda su uso durante el embarazo.",Sistema endocrino,agentes hipoglucemiantes,
eritromicina,A,,Antimicrobianos,Antibióticos,antibióticos macrólidos
eritropoyetina,B3,,Sangre y sistema hematopoyético,Agentes hematopoyéticos,
escitalopram,do,"Los inhibidores selectivos de la recaptación de serotonina (ISRS) se han utilizado de forma limitada durante el embarazo, sin que se haya reportado un aumento de defectos congénitos. El uso de ISRS en el tercer trimestre puede provocar un síndrome de abstinencia en el recién nacido.",Sistema nervioso central,antidepresivos,Inhibidores selectivos de la recaptación de serotonina (ISRS)
 esketamina,B3,,Sistema nervioso central,antidepresivos,
acetato de eslicarbazepina,D,"Se han observado efectos embriofetales en animales, incluyendo aumentos en la pérdida pre y postimplantación, disminución del peso fetal, mayor incidencia de malformaciones y variaciones mayores y menores, a dosis subclínicas. Los efectos incluyen anomalías costales menores y mayores, paladar hendido, ausencia de arcos neurales torácicos y centros torácicos descentrados o hemicéntricos en ratones, cavitación pélvica renal, ausencia de vértebra caudal, retrasos en la osificación y paladar estriado.",Sistema nervioso central,Anticonvulsivos/antiepilépticos,
esmolol,do, Los agentes bloqueantes beta-adrenérgicos pueden causar efectos farmacológicos como bradicardia en el feto y el recién nacido.,Sistema cardiovascular,Agentes bloqueantes beta-adrenérgicos,
